Genotype,F1,F2,Plate,Block,Drug,DC,Conentration,FvFm,Root,,
B,2,69,42,2,Hygromycin,Hyg_2,2,0.714,15.349,,
BA,2,13,42,2,Hygromycin,Hyg_2,2,0.717,16.821,,
BA,2,26,42,2,Hygromycin,Hyg_2,2,0.642,NA,leaf but no root,
W,2,16,42,2,Hygromycin,Hyg_2,2,0.694,17.526,,
W,2,41,42,2,Hygromycin,Hyg_2,2,0.714,17.513,,
A,2,8,42,2,Hygromycin,Hyg_2,2,0.707,15.263,,
A,2,9,42,2,Hygromycin,Hyg_2,2,0.702,20.128,,
BA,2,13,43,3,Hygromycin,Hyg_2,2,0.739,9.643,,
BA,2,26,43,3,Hygromycin,Hyg_2,2,0.732,18.568,,
W,2,16,43,3,Hygromycin,Hyg_2,2,0.704,9.754,,
W,2,41,43,3,Hygromycin,Hyg_2,2,0.728,16.752,,
A,2,8,43,3,Hygromycin,Hyg_2,2,0.718,17.784,,
A,2,9,43,3,Hygromycin,Hyg_2,2,0.702,4.543,,
B,2,62,43,3,Hygromycin,Hyg_2,2,0.746,16.968,,
B,2,69,43,3,Hygromycin,Hyg_2,2,0.696,14.525,,
W,2,16,44,4,Hygromycin,Hyg_2,2,0.673,19.384,,
W,2,41,44,4,Hygromycin,Hyg_2,2,0.673,20.588,,
A,2,8,44,4,Hygromycin,Hyg_2,2,0.688,20.515,,
A,2,9,44,4,Hygromycin,Hyg_2,2,0.739,15.214,,
B,2,62,44,4,Hygromycin,Hyg_2,2,0.675,20.184,,
B,2,69,44,4,Hygromycin,Hyg_2,2,0.695,21.02,,
BA,2,13,44,4,Hygromycin,Hyg_2,2,0.715,17.543,,
BA,2,26,44,4,Hygromycin,Hyg_2,2,0.696,21.211,,
A,2,8,45,5,Hygromycin,Hyg_2,2,0.769,16.11,,
A,2,9,45,5,Hygromycin,Hyg_2,2,0.772,19.342,,
B,2,62,45,5,Hygromycin,Hyg_2,2,0.773,7.5,,
B,2,69,45,5,Hygromycin,Hyg_2,2,0.776,17.718,,
BA,2,13,45,5,Hygromycin,Hyg_2,2,0.773,18.801,,
BA,2,26,45,5,Hygromycin,Hyg_2,2,0.792,4.558,,
W,2,16,45,5,Hygromycin,Hyg_2,2,0.772,19.298,,
W,2,41,45,5,Hygromycin,Hyg_2,2,0.787,14.577,,
A,2,8,46,1,Spectinomycin,Spec_2,2,0.468,5.994,,
A,2,9,46,1,Spectinomycin,Spec_2,2,0.466,6.862,,
B,2,62,46,1,Spectinomycin,Spec_2,2,0.389,7.069,,
B,2,69,46,1,Spectinomycin,Spec_2,2,0.399,6.577,,
BA,2,13,46,1,Spectinomycin,Spec_2,2,0.357,8.515,,
BA,2,26,46,1,Spectinomycin,Spec_2,2,0.457,7.386,,
W,2,16,46,1,Spectinomycin,Spec_2,2,0.498,10.036,,
W,2,41,46,1,Spectinomycin,Spec_2,2,0.525,12.446,,
B,2,62,47,2,Spectinomycin,Spec_2,2,0.417,7.683,,
B,2,69,47,2,Spectinomycin,Spec_2,2,0.327,5.469,,
BA,2,13,47,2,Spectinomycin,Spec_2,2,0.424,6.018,,
BA,2,26,47,2,Spectinomycin,Spec_2,2,0.56,6.563,,
W,2,16,47,2,Spectinomycin,Spec_2,2,0.437,6.761,,
W,2,41,47,2,Spectinomycin,Spec_2,2,0.459,9.837,,
A,2,8,47,2,Spectinomycin,Spec_2,2,0.448,7.597,,
A,2,9,47,2,Spectinomycin,Spec_2,2,0.408,7.956,,
BA,2,13,48,3,Spectinomycin,Spec_2,2,0.364,7.066,,
